,time,text,lat,lon
0,2019-07-30 16:45:02,"RT @BloodAid: #Hyderabad #Emergency Need A+ #blood platelets @ Basavatarakam Indo American Cancer Hospital, Banjara Hills. Call 9989652430\xe2\x80\xa6'",40.75430537247756,-74.14492682761593
1,2019-07-30 16:43:29,"RT @HoxworthUC: #CRITICAL APPEAL: Due to multiple traumas &amp; organ transplants, Hoxworth is in #emergency need of red cells from ALL #bloodt\xe2\x80\xa6'",40.85665800803604,-74.10160481742815
2,2019-07-30 16:43:00,"RT @terapump_socal: No Leak, No Hassle and No Worries. https://t.co/enPWSBgqvr #TRFA01 #emergency #safetyfirst #beprepared #pump #handy htt\xe2\x80\xa6'",40.625145528926026,-73.7711592129904
3,2019-07-30 16:42:56,"RT @BloodAid: #Hyderabad #Emergency Need A+ #blood platelets @ Basavatarakam Indo American Cancer Hospital, Banjara Hills. Call 9989652430\xe2\x80\xa6'",40.87132299103511,-73.76607505000922
4,2019-07-30 16:42:19,"RT @BloodAid: #Hyderabad #Emergency Need A+ #blood platelets @ Basavatarakam Indo American Cancer Hospital, Banjara Hills. Call 9989652430\xe2\x80\xa6'",40.61993676545843,-73.99265337193975
5,2019-07-30 16:41:48,"RT @sophiaxiomara: I really need #help. Please #rt or #donate if you can. $deatroit https://t.co/evPaMlqFcc I need #medicine and I'm still\xe2\x80\xa6""",40.854949334203965,-74.24481610174107
6,2019-07-30 16:40:42,RT @JermarcusRobin2: #RESISTANCE #REDALERT #DUMPTRUMP #EMERGENCY #BREAKINGNEWS #TRUMPRUSSIA #MOSCOWMITCH\n\nShep Smith calls out Moscow Mitch\xe2\x80\xa6',40.69712242658297,-74.04641949348532
7,2019-07-30 16:38:48,"RT @BloodAid: #Hyderabad #Emergency Need A+ #blood platelets @ Basavatarakam Indo American Cancer Hospital, Banjara Hills. Call 9989652430\xe2\x80\xa6'",40.63151810646031,-74.02687386039455
8,2019-07-30 16:36:14,Stay emergency prepared if at all possible.  Contact us for your power solutions during an outage. #acworks\xe2\x80\xa6 https://t.co/OhyDMccX94',40.61172694280649,-73.75337401330262
9,2019-07-30 16:36:02,"""Despite efforts to decrease hospital readmissions showing promise, the cost for these services continue to cost bi\xe2\x80\xa6 https://t.co/d8SDRXzdJJ'",40.80463564741445,-73.9960848035186
